epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,827.938,0.50799,0.4993,1.12618,0.98023,1,0.995,0.90905,0.4174,0.27251,0.95747,0.000310422,0.000310422,0.000310422
56,840.71,0.49802,0.48428,1.10473,0.97904,1,0.995,0.93925,0.35979,0.25744,0.89527,0.000303818,0.000303818,0.000303818
57,853.18,0.50826,0.50507,1.11722,0.98068,1,0.995,0.92012,0.39093,0.2711,0.93354,0.000297215,0.000297215,0.000297215
58,866.032,0.49417,0.49111,1.10524,0.98025,1,0.995,0.93397,0.36772,0.25707,0.89918,0.000290612,0.000290612,0.000290612
59,879.151,0.48141,0.4988,1.10269,0.97995,1,0.995,0.91893,0.3903,0.2763,0.93478,0.000284009,0.000284009,0.000284009
60,891.854,0.48887,0.48365,1.10263,0.98211,1,0.995,0.92922,0.38984,0.28189,0.92558,0.000277405,0.000277405,0.000277405
61,904.531,0.48635,0.4927,1.11103,0.98245,1,0.995,0.93904,0.36221,0.24894,0.89438,0.000270802,0.000270802,0.000270802
62,917.284,0.4751,0.49045,1.1016,0.98577,1,0.995,0.92583,0.38864,0.27448,0.926,0.000264199,0.000264199,0.000264199
63,929.805,0.48127,0.45666,1.0911,0.9875,1,0.995,0.93364,0.33719,0.25727,0.87712,0.000257595,0.000257595,0.000257595
64,942.416,0.46242,0.46881,1.08804,0.98523,1,0.995,0.93462,0.35472,0.24423,0.88885,0.000250992,0.000250992,0.000250992
65,954.75,0.46654,0.46603,1.08896,0.98887,0.99499,0.995,0.93579,0.3598,0.25596,0.90143,0.000244389,0.000244389,0.000244389
66,967.24,0.46802,0.45854,1.09827,0.98312,1,0.995,0.93391,0.34075,0.24139,0.87461,0.000237785,0.000237785,0.000237785
67,979.848,0.46201,0.4528,1.09246,0.9862,0.9995,0.995,0.93663,0.33471,0.2569,0.87627,0.000231182,0.000231182,0.000231182
68,992.048,0.47543,0.46484,1.09765,0.98259,1,0.995,0.93,0.35317,0.24322,0.88609,0.000224579,0.000224579,0.000224579
69,1004.33,0.46274,0.44974,1.09261,0.98069,0.99678,0.995,0.94546,0.33463,0.24004,0.86776,0.000217976,0.000217976,0.000217976
70,1016.38,0.46173,0.45778,1.08683,0.9847,1,0.995,0.93976,0.32768,0.24036,0.85195,0.000211372,0.000211372,0.000211372
71,1028.25,0.4488,0.42728,1.08163,0.98658,1,0.995,0.92951,0.35302,0.23736,0.88247,0.000204769,0.000204769,0.000204769
72,1040.35,0.44733,0.43938,1.08602,0.98723,0.99895,0.995,0.93552,0.32772,0.23547,0.8654,0.000198166,0.000198166,0.000198166
73,1052.37,0.45144,0.43911,1.07728,0.98352,1,0.995,0.94106,0.34509,0.23573,0.87039,0.000191562,0.000191562,0.000191562
74,1064.55,0.45788,0.44346,1.09023,0.99064,1,0.995,0.94231,0.33982,0.2337,0.87778,0.000184959,0.000184959,0.000184959
75,1076.48,0.45292,0.42977,1.0825,0.9911,0.99698,0.995,0.94499,0.31924,0.23171,0.8582,0.000178356,0.000178356,0.000178356
76,1089.28,0.44054,0.41411,1.07494,0.9876,0.99871,0.995,0.94255,0.32141,0.23722,0.86029,0.000171752,0.000171752,0.000171752
77,1101.52,0.43671,0.41371,1.06637,0.99064,1,0.995,0.94292,0.33128,0.22966,0.85881,0.000165149,0.000165149,0.000165149
78,1114.72,0.43924,0.41105,1.0627,0.9901,1,0.995,0.94876,0.32065,0.21824,0.8482,0.000158546,0.000158546,0.000158546
79,1127.39,0.43864,0.4235,1.07885,0.99002,1,0.995,0.9402,0.3274,0.22228,0.85044,0.000151943,0.000151943,0.000151943
80,1139.98,0.42317,0.41177,1.0522,0.98714,1,0.995,0.9403,0.31365,0.22196,0.84842,0.000145339,0.000145339,0.000145339
81,1152.37,0.41426,0.40999,1.07061,0.98917,0.99617,0.995,0.94486,0.32361,0.22005,0.85559,0.000138736,0.000138736,0.000138736
82,1164.8,0.40586,0.40087,1.0521,0.99027,1,0.995,0.94166,0.32563,0.22324,0.8599,0.000132133,0.000132133,0.000132133
83,1177.07,0.42786,0.4059,1.06618,0.98767,1,0.995,0.94685,0.32779,0.2156,0.85578,0.000125529,0.000125529,0.000125529
84,1189.18,0.42627,0.40619,1.06334,0.99013,1,0.995,0.95049,0.31736,0.22697,0.85387,0.000118926,0.000118926,0.000118926
85,1201.39,0.43203,0.41884,1.07322,0.98493,1,0.995,0.94881,0.31019,0.21861,0.84643,0.000112323,0.000112323,0.000112323
86,1213.61,0.41761,0.40604,1.06136,0.98982,1,0.995,0.94732,0.3102,0.21357,0.84192,0.00010572,0.00010572,0.00010572
87,1225.95,0.41477,0.39324,1.0476,0.98942,1,0.995,0.95144,0.30338,0.21454,0.83986,9.91E-05,9.91E-05,9.91E-05
88,1238.51,0.40922,0.38351,1.045,0.98879,1,0.995,0.94734,0.30846,0.21856,0.84311,9.25E-05,9.25E-05,9.25E-05
89,1251,0.42658,0.39581,1.06725,0.9887,1,0.995,0.95349,0.31252,0.21811,0.84328,8.59E-05,8.59E-05,8.59E-05
90,1263.24,0.39977,0.37719,1.04793,0.98754,1,0.995,0.94812,0.31761,0.21884,0.84665,7.93E-05,7.93E-05,7.93E-05
91,1292.98,0.25258,0.24191,0.97561,0.98826,1,0.995,0.93858,0.32406,0.22334,0.85277,7.27E-05,7.27E-05,7.27E-05
92,1305.07,0.24259,0.22915,0.97921,0.9897,1,0.995,0.94787,0.32025,0.22118,0.84755,6.61E-05,6.61E-05,6.61E-05
93,1317.12,0.24041,0.21483,0.96323,0.98939,1,0.995,0.95355,0.30234,0.21247,0.83819,5.95E-05,5.95E-05,5.95E-05
94,1329.04,0.22651,0.21081,0.95635,0.98715,0.99909,0.995,0.95177,0.29755,0.20815,0.83489,5.29E-05,5.29E-05,5.29E-05
95,1341.17,0.22771,0.21209,0.9631,0.99101,1,0.995,0.94735,0.30696,0.20954,0.83818,4.63E-05,4.63E-05,4.63E-05
96,1353.18,0.21951,0.20392,0.94833,0.99,1,0.995,0.95206,0.30832,0.21464,0.83602,3.97E-05,3.97E-05,3.97E-05
97,1365.95,0.22227,0.20427,0.95088,0.98568,1,0.995,0.94343,0.30417,0.20773,0.83131,3.31E-05,3.31E-05,3.31E-05
98,1378.19,0.21972,0.20336,0.95566,0.9868,1,0.995,0.9476,0.29645,0.20478,0.82562,2.65E-05,2.65E-05,2.65E-05
99,1390.48,0.20767,0.19693,0.94436,0.98735,0.99998,0.995,0.95243,0.29141,0.20117,0.81763,1.99E-05,1.99E-05,1.99E-05
100,1402.93,0.21351,0.1957,0.94383,0.98733,1,0.995,0.95158,0.29349,0.20133,0.82105,1.33E-05,1.33E-05,1.33E-05
